,ID,Recency,Frequency,Wines,Fruits,Meat,Fish,Sweets,Gold
0,5524,58,32,635,88,546,172,88,88
1,2174,38,11,11,1,6,2,1,6
2,4141,26,25,426,49,127,111,21,42
3,6182,26,14,11,4,20,10,3,5
4,5324,94,24,173,43,118,46,27,15
5,7446,16,28,520,42,98,0,42,14
6,965,34,27,235,65,164,50,49,27
7,6177,32,18,76,10,56,3,1,23
8,4855,19,15,14,0,24,3,3,2
9,5899,68,22,28,0,6,1,1,13
11,387,59,14,6,16,11,11,1,16
12,2125,82,18,194,61,480,225,112,30
13,8180,53,21,233,2,53,3,5,14
14,2569,38,13,3,14,17,6,1,5
15,2114,23,29,1006,22,115,59,68,45
16,9736,51,17,53,5,19,2,13,4
17,4939,20,20,84,5,38,150,12,28
18,6565,91,31,1012,80,498,0,16,176
19,2278,86,14,4,17,19,30,24,39
20,9360,41,20,86,2,73,69,38,48
21,5376,42,44,1,1,1725,1,1,1
22,1993,63,25,867,0,86,0,0,19
23,4047,0,24,384,0,102,21,32,5
24,1409,69,28,270,3,27,39,6,99
25,7892,89,15,6,4,25,15,12,13
26,2404,4,21,173,4,30,3,6,41
28,9422,26,12,36,2,42,20,21,10
29,1966,96,28,684,100,801,21,66,0
30,6864,34,13,8,4,10,2,2,4
31,3033,56,14,112,17,44,34,22,89
32,5710,31,14,110,0,5,2,0,3
33,7373,8,23,96,12,96,33,22,43
34,8755,4,25,482,34,471,119,68,22
35,10738,55,13,40,0,19,2,1,3
36,4339,37,30,702,17,151,0,8,35
37,10755,76,16,6,3,14,15,7,36
38,8595,99,12,55,0,6,2,0,4
39,2968,53,30,437,8,206,160,49,42
40,8601,3,25,421,76,536,82,178,102
41,503,88,15,13,1,29,3,0,7
42,8430,4,9,9,0,6,3,1,3
44,2139,19,13,3,1,10,3,2,12
45,1371,72,17,123,164,266,227,30,174
46,9909,24,19,3,18,14,15,22,50
47,7286,92,15,13,6,15,3,5,13
49,6566,39,36,826,50,317,50,38,38
50,8614,29,19,245,19,125,37,67,14
51,4114,2,32,650,37,780,27,167,32
52,1331,54,14,12,6,20,30,1,3
53,2225,54,22,510,120,550,156,40,241
54,9381,57,26,328,9,124,12,24,109
55,6260,55,28,984,51,432,180,120,190
56,10383,30,24,295,35,482,121,120,40
57,7437,31,9,13,0,8,2,1,5
59,8375,63,26,447,0,28,0,0,43
60,6853,12,22,712,26,538,69,13,80
61,3076,18,25,452,18,102,16,18,6
62,1012,26,31,523,7,134,37,14,169
63,6518,8,24,546,0,48,0,6,6
64,4137,29,20,398,40,367,119,122,30
65,8082,75,12,1,3,6,3,6,15
66,1386,0,11,10,0,1,0,0,0
67,9369,19,37,688,14,309,201,24,38
68,4477,4,22,247,49,159,7,82,109
69,1357,90,24,856,59,487,58,29,73
70,1402,1,24,496,36,460,189,60,12
72,6312,29,37,258,107,291,84,37,86
73,8132,88,31,565,6,65,0,6,19
74,1050,58,10,14,10,13,4,15,9
75,5846,68,10,2,1,6,2,1,1
76,1859,34,24,721,111,925,97,18,18
77,7503,40,26,1032,105,779,137,105,51
78,10401,12,7,1,0,5,0,3,9
79,1618,9,29,577,0,64,0,0,51
80,3332,87,20,64,4,68,7,5,17
81,2261,5,11,4,1,5,2,0,4
82,5346,87,16,25,5,19,7,0,23
83,4119,56,14,112,17,44,34,22,89
84,535,18,28,163,23,424,27,65,76
85,5268,95,14,17,8,14,10,4,3
86,273,48,20,130,0,16,0,0,5
87,4452,3,24,292,6,37,0,3,34
88,8504,70,21,350,60,568,110,133,145
89,771,79,12,135,9,39,4,0,7
93,11178,69,12,15,2,10,0,1,4
94,2230,84,15,27,2,14,0,0,0
95,7516,30,12,5,3,11,12,5,9
96,7247,72,28,505,0,26,0,0,75
97,11100,37,14,51,2,7,0,1,2
98,4646,44,27,207,26,447,75,0,223
99,3037,32,21,135,46,92,65,61,11
100,1473,0,15,53,1,5,2,1,10
101,1016,43,13,41,1,6,2,0,5
102,4518,59,32,386,172,183,185,132,111
103,9370,68,20,562,81,276,80,40,81
104,8908,35,21,217,76,690,50,26,38
105,8373,94,10,1,3,6,10,0,9
106,7533,15,20,144,1,32,2,1,7
107,2683,56,32,295,106,271,75,98,65
108,3629,17,16,76,3,31,4,4,27
109,10991,18,16,454,194,106,31,22,43
