,ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Duration_Customer,Frequency,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Discount,Web,Catalog,Store,Web_visit,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Complain,Response,Income_Class,Age_Class
0,5524,66,1,0,58138.0,0,0,3860,32,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,2,3
1,2174,69,1,0,46344.0,1,1,3310,11,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,1,3
2,4141,58,1,1,71613.0,0,0,3509,25,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,3,2
3,6182,39,1,1,26646.0,1,0,3336,14,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0,0
4,5324,42,3,1,58293.0,1,0,3358,24,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,2,1
5,7446,56,2,1,62513.0,0,1,3490,28,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,2,2
6,965,52,1,0,55635.0,0,1,3790,27,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,2,2
7,6177,38,3,1,33454.0,1,0,3614,18,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,0
8,4855,49,3,1,30351.0,1,0,3585,15,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0,1
9,5899,73,3,1,5648.0,1,1,3305,22,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0,0,3
11,387,47,0,1,7500.0,0,0,3790,14,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,1
12,2125,64,1,0,63033.0,0,0,3423,18,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,2,2
13,8180,71,2,0,59354.0,1,1,3423,21,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,3
14,2569,36,1,1,17323.0,0,0,3824,13,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,0
15,2114,77,3,0,82800.0,0,0,3779,29,23,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,0,1,3,3
16,9736,43,1,1,41850.0,1,1,3749,17,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,1,1
17,4939,77,1,1,37760.0,0,0,3864,20,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,1,3
18,6565,74,2,1,76995.0,0,1,3655,31,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0,3,3
19,2278,38,2,0,33812.0,1,0,3800,14,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0,0
20,9360,41,1,1,37040.0,0,0,3887,20,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,1,1
21,5376,44,1,1,2447.0,1,0,3736,44,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0,1
22,1993,74,3,1,58607.0,0,1,3750,25,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,2,3
23,4047,69,3,1,65324.0,0,1,3366,24,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,2,3
24,1409,72,1,1,40689.0,0,1,3665,28,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,3
