,ID,Recency_Cluster,Frequency_Cluster,Wines_Cluster,Fruits_Cluster,Meat_Cluster,Fish_Cluster,Sweets_Cluster,Gold_Cluster
0,5524,1,2,1,1,2,2,1,1
1,2174,1,0,0,0,0,0,0,0
2,965,1,2,0,1,0,1,1,0
3,387,1,0,0,0,0,0,0,0
4,8180,1,1,0,0,0,0,0,0
5,2569,1,0,0,0,0,0,0,0
6,9736,1,0,0,0,0,0,0,0
7,9360,1,1,0,0,0,1,1,0
8,5376,1,2,0,0,2,0,0,0
9,1993,1,1,2,0,0,0,0,0
10,6864,1,0,0,0,0,0,0,0
11,3033,1,0,0,0,0,0,0,1
12,10738,1,0,0,0,0,0,0,0
13,4339,1,2,1,0,0,0,0,0
14,2968,1,2,1,0,1,2,1,0
15,6566,1,2,2,1,1,1,1,0
16,1331,1,0,0,0,0,0,0,0
17,2225,1,1,1,2,2,2,1,2
18,9381,1,1,1,0,0,0,0,1
19,6260,1,2,2,1,1,2,2,2
20,8375,1,1,1,0,0,0,0,0
21,1050,1,0,0,0,0,0,0,0
22,1859,1,1,1,2,2,1,0,0
23,7503,1,1,2,2,2,2,2,1
24,4119,1,0,0,0,0,0,0,1
25,273,1,1,0,0,0,0,0,0
26,11100,1,0,0,0,0,0,0,0
27,4646,1,2,0,0,1,1,0,2
28,1016,1,0,0,0,0,0,0,0
29,4518,1,2,1,2,0,2,2,1
30,8908,1,1,0,1,2,1,0,0
31,2683,1,2,1,2,1,1,1,1
32,5077,1,2,1,2,1,0,1,1
33,7431,1,1,2,0,1,0,1,1
34,9862,1,0,0,0,0,0,0,0
35,9805,1,1,1,1,0,0,1,0
36,8442,1,0,0,0,0,0,0,0
37,11071,1,0,1,2,2,2,0,2
38,3381,1,0,0,0,0,0,0,0
39,433,1,2,1,0,0,0,0,0
40,5290,1,1,0,0,0,0,0,0
41,9579,1,0,0,0,0,0,0,0
42,7660,1,0,0,0,0,0,0,0
43,821,1,1,2,1,2,1,1,0
44,2937,1,2,1,0,0,0,0,0
45,9949,1,1,1,0,0,0,1,1
46,10837,1,0,0,0,0,0,0,0
47,3120,1,0,0,0,0,0,0,0
48,4050,1,0,0,0,0,0,0,0
49,3830,1,1,1,0,0,0,0,0
50,7055,1,2,2,0,0,0,0,1
51,9283,1,0,0,0,0,0,0,0
52,2730,1,1,1,0,1,2,1,1
53,3712,1,0,0,0,0,0,0,0
54,6637,1,0,1,2,1,2,1,1
55,5610,1,0,0,0,0,0,0,0
56,8717,1,2,2,1,1,1,1,0
57,6935,1,2,0,0,1,1,0,2
58,3518,1,0,0,0,0,0,0,0
59,5823,1,0,0,0,0,0,0,0
60,3934,1,1,1,0,0,0,0,1
61,9733,1,0,0,0,0,0,0,0
62,326,1,1,0,0,0,0,0,0
63,7300,1,1,1,0,0,0,0,0
64,10424,1,1,0,2,2,2,0,1
65,8727,1,2,1,1,1,0,1,1
66,2798,1,2,2,0,0,1,2,1
67,5552,1,1,0,0,0,1,0,0
68,0,1,1,0,0,2,2,1,1
69,454,1,2,2,1,0,0,0,0
70,2075,1,0,1,0,2,1,0,0
71,9076,1,1,0,0,0,0,0,0
72,7079,1,2,2,0,1,0,0,1
73,4653,1,1,0,0,0,0,0,0
74,3726,1,0,0,0,0,0,0,0
75,1606,1,0,0,0,0,0,0,0
76,9617,1,0,0,0,0,0,0,0
77,89,1,0,0,0,0,0,0,0
78,2936,1,0,0,0,0,0,0,0
79,7297,1,1,0,0,0,0,0,0
80,6439,1,2,2,0,0,0,0,2
81,2176,1,1,2,0,1,1,0,1
82,8932,1,2,2,0,0,2,1,1
83,10236,1,0,0,0,0,0,0,0
84,6340,1,0,0,0,0,0,0,0
85,5304,1,0,0,0,0,0,0,0
86,309,1,1,2,0,0,0,0,0
87,10264,1,0,0,0,0,0,0,0
88,1184,1,2,1,1,1,0,0,0
89,1225,1,1,1,1,1,2,1,2
90,6336,1,0,0,0,0,0,0,0
91,10967,1,0,0,0,0,0,0,0
92,3445,1,2,0,2,1,1,1,2
93,4391,1,2,1,0,0,0,0,2
94,4669,1,0,0,0,0,0,0,0
95,4697,1,1,0,0,0,0,0,1
96,2926,1,2,2,0,0,0,0,0
97,9738,1,0,0,0,0,0,0,0
98,7119,1,0,1,0,1,1,1,0
99,3924,1,2,2,0,0,0,0,0
100,5827,1,0,0,0,0,0,0,0
101,5596,1,2,1,0,0,0,0,0
102,1717,1,1,0,0,0,0,0,1
103,9274,1,1,1,2,0,2,2,1
104,6609,1,0,0,0,0,0,0,0
105,6320,1,1,2,1,2,1,1,0
106,2392,1,0,0,0,0,0,0,0
107,113,1,0,0,0,0,0,0,0
108,9750,1,2,2,1,1,1,0,1
109,7214,1,1,2,0,1,1,1,1
110,5835,1,0,0,0,0,0,0,0
111,10350,1,0,0,0,0,0,0,0
112,663,1,0,0,0,0,0,0,0
113,9592,1,0,0,0,0,0,0,0
114,10151,1,1,1,1,1,2,1,2
115,9707,1,2,2,0,0,0,0,0
116,1411,1,0,0,1,1,2,2,2
117,8553,1,0,0,0,0,0,0,0
118,8842,1,0,0,0,0,0,0,0
119,9185,1,1,1,0,1,0,0,0
120,9365,1,2,2,0,1,0,0,0
121,6201,1,0,0,0,0,0,0,0
122,2061,1,0,0,0,0,0,0,0
